airport_id,AIRPORT,orig_pm
14871,SLE,5310322
14875,SLK,1124524
14877,SLN,7258838
14880,SLQ,23145
14892,SME,18649
14893,SMF,5602922670
14895,SMK,218335
14898,SMO,6866
14905,SMX,5186285
14908,SNA,4894530640
14919,SNP,1238749
14938,SOP,4056
14942,SOV,53494
14943,SOW,482196
14945,SPB,831577
14950,SPG,560
14952,SPI,32927373
14955,SPN,280145509
14960,SPS,3168684
14965,ZXQ,7200
14965,SQA,7200
14967,SQL,819314
14972,SQV,3279
14986,SRQ,1796675634
14987,SRV,8315
14992,SSB,831577
14996,SSI,72530
15008,STC,25745660
15012,STG,44873
15016,STL,5710263148
15020,STP,11582
15023,STS,178688246
15024,STT,830679990
15027,STX,202556660
15030,SUA,35790
15041,SUN,50096705
15043,SUS,53382
15048,SUX,12611257
15049,SVA,497386
15051,SVC,1563447
15057,SVN,253514
15061,SVS,29999
15069,SWD,1604
15070,SWF,206361929
15074,SWO,8796758
15085,SXP,46925
15086,SXQ,1076
15091,SYB,7056
15096,SYR,867222800
15124,TAL,216594
15138,TBN,4531704
15153,TCL,1785420
15154,TCM,533838
15160,TCT,43775
15167,TEB,10842013
15171,TEK,51078
15177,TEX,3043690
15215,TIQ,325926
15220,TIW,3939
15231,TKE,22504
15232,TKF,231547
15236,TKJ,72749
15245,TLA,87518
15249,TLH,160592885
15250,TLJ,717
15257,TLT,81933
15260,TMB,87479
15278,TNC,6147
15282,TNK,186141
15289,TOA,1685
15293,TOG,338433
15295,TOL,69895304
15304,TPA,11875335521
15307,TPF,6320
15323,TRI,74912809
15325,TRM,84233
15342,TSM,4526202
15356,TTN,290178762
15370,TUL,900296201
15374,TUP,2757589
15376,TUS,1454574405
15380,TVC,152466437
15381,TVF,2125323
15382,TVI,3310
15383,TVL,41497
15385,TWA,35193
15387,TWD,1638
15389,TWF,3506760
15396,TX4,14784
15401,TXK,7592769
15406,TYE,66660
15411,TYR,5114892
15412,TYS,743128184
15427,UBF,16131
15434,UDD,8026
15440,UES,15766
15446,UGI,850
15447,UGN,140333
15448,UGS,3324
15454,UIN,784432
15472,UMT,18185
15478,UNK,2176612
15497,UST,24194
15498,UT1,35083
15504,UTO,374
15511,UVA,1562
15529,UXO,1330
15532,UXR,32518
15548,VA4,6924
15554,VAK,596278
15569,VCT,1399096
15570,VCV,420776
15574,VDI,14867
15579,VDZ,526824
15581,VEE,231424
15582,VEL,3613568
15589,VGT,9329
15599,VIK,15210
15601,VIS,9574
15607,VLD,8767616
15615,VNC,9140
15618,VNY,4593687
15624,VPS,624076112
15626,VQS,873708
15628,VRB,43654200
15640,VUO,4271
15648,VWC,2840
15649,VWD,1573
15650,VWE,442
15656,VWK,12058
15664,VWS,14643
15700,VZY,41130
15706,WA5,525
15709,WAA,122505
15721,WBB,222572
15725,WBQ,97871
15731,WCR,10303
15741,WFB,46309
15754,WHD,4350
15769,WJF,168
15785,WLK,304243
15793,WMK,35
15794,WMO,88038
15798,WNA,13589
15825,WQM,196181
15825,CWF,196181
15836,WQX,781
15841,WRG,6680596
15853,WSN,1847
15855,WST,210620
15856,WSX,26751
15861,WTK,181007
15862,WTL,131027
15877,WVI,828
15879,WVL,4614
15881,WWA,3651
15882,WWD,3585
15885,WWP,231
15887,WWT,140279
15897,WYS,2606331
15919,XNA,614042208
15956,XWW,17055
15964,XXE,192
15980,XXW,2910
15980,LCQ,2910
15991,YAK,6711315
16091,YIP,2487049
16101,YKM,3544837
16133,YNG,486051
16218,YUM,51046291
16311,ZNC,96
16340,ZXH,133
16353,ZXU,56780
16363,FHB,5267
16390,BVU,43205
16422,GUF,18521
16428,L41,1684
16441,CT1,1952
16442,NY5,3747
16445,ID1,4365
16454,VGC,5979
16463,MD1,1550
16491,PNN,1260
16497,AL6,14557
16498,NY7,3440
16519,PA4,900
16520,DE2,930
16525,PA5,4578
16526,MA4,3619
16527,MVC,1968
16528,VA5,1293
16540,ME3,1232
16541,OBE,372
16542,RBW,15482
16543,MA5,2415
16552,NC8,560
16560,OR4,3977
16567,7AK,49092
16571,1NY,4736
16582,GA5,5680
16603,DHB,33377
16666,DE3,312
16668,A1K,561
16679,MRF,2295
16680,N1Y,2407
16682,GTY,183
16710,MD2,405
16711,NV4,9800
16725,NV5,11408
16727,NJ7,168
16745,T6X,2328
16748,DYL,247
16751,FL7,278
16764,FME,1060
16774,VA8,1784
16803,A5K,1480
16807,MA6,405
16813,NH4,457
16817,NV6,4827
16829,LNA,1054
16830,2NY,687
16832,QNY,350722
16832,NYS,350722
16848,2GA,3592
16853,1TX,593
16856,VJI,3246
16869,XWA,48888761
16876,SC6,12890
16879,T4X,185333
16901,2FL,642
16910,LOW,1084
16918,CO7,4290
16923,1AK,5729
16927,N8C,1869
16942,9TX,12380
16954,BNH,172349
16959,1PA,416
16973,AZ8,1215
16976,MLJ,4494
16980,2VA,1035
16982,2AK,135
16990,1NJ,736
16991,3NC,11
16999,PR1,1125
17005,UNU,456
